ParticipantID,SceneName,D0_Dis,D0_Den,D1_Dis,D1_Den,Dis(comparison),Den(comparison),Position,SelectedDoor,ReactTime
1,Dis_den_6_3I6_7,6,3,6,7,4,3,0,0,1.741
1,5Dis_den_4.6_7I6_7,4.6,7,6,7,7,2,0,0,2.078
1,4Dis_den_V_6_7I5.6_3,6,7,5.6,3,3,1,1,1,1.583
1,Dis_den_V_6_3I6_7,6,3,6,7,4,3,1,0,1.97
1,Dis_den_V_4.6_7I5.6_7,4.6,7,5.6,7,6,2,1,0,2.679
1,2Dis_den_V_4.6_7I6_7,4.6,7,6,7,7,2,1,0,2.516
1,2Dis_den_4.6_7I6_7,4.6,7,6,7,7,2,0,0,2.415
1,5Dis_den_5.6_7I6_7,5.6,7,6,7,5,2,0,1,2.325
1,4Dis_den_5.6_7I4.6_3,5.6,7,4.6,3,2,1,0,1,1.765
1,Dis_den_V_6_7I5.6_3,6,7,5.6,3,3,1,1,1,1.985
1,Dis_den_4.6_7I5.6_3,4.6,7,5.6,3,6,1,0,1,1.54
1,4Dis_den_V_6_7I4.6_3,6,7,4.6,3,1,1,1,1,1.783
1,Dis_den_V_4.6_7I6_7,4.6,7,6,7,7,2,1,0,3.47
1,5Dis_den_V_4.6_7I5.6_7,4.6,7,5.6,7,6,2,1,0,2.866
1,3Dis_den_5.6_7I4.6_3,5.6,7,4.6,3,2,1,0,1,2.095
1,2Dis_den_V_5.6_7I5.6_3,5.6,7,5.6,3,4,1,1,1,2.074
1,Dis_den_V_5.6_3I6_3,5.6,3,6,3,5,2,1,0,2.193
1,5Dis_den_V_4.6_7I6_7,4.6,7,6,7,7,2,1,0,2.799
1,Dis_den_4.6_3I6_3,4.6,3,6,3,7,2,0,0,2.395
1,Dis_den_5.6_7I6_7,5.6,7,6,7,5,2,0,1,3.237
1,2Dis_den_V_5.6_7I6_3,5.6,7,6,3,5,1,1,1,2.307
1,5Dis_den_6_7I5.6_3,6,7,5.6,3,3,1,0,1,1.938
1,2Dis_den_5.6_7I4.6_3,5.6,7,4.6,3,2,1,0,1,1.776
1,5Dis_den_4.6_3I4.6_7,4.6,3,4.6,7,4,3,0,0,2.121
1,5Dis_den_V_4.6_7I6_3,4.6,7,6,3,7,1,1,1,1.76
1,Dis_den_V_5.6_7I6_7,5.6,7,6,7,5,2,1,0,2.852
1,3Dis_den_V_4.6_7I6_7,4.6,7,6,7,7,2,1,0,0.311
1,4Dis_den_4.6_7I5.6_3,4.6,7,5.6,3,6,1,0,1,1.991
1,Dis_den_V_5.6_7I4.6_3,5.6,7,4.6,3,2,1,1,1,2.155
1,Dis_den_5.6_7I5.6_3,5.6,7,5.6,3,4,1,0,1,2.101
1,2Dis_den_V_6_3I6_7,6,3,6,7,4,3,1,0,2.578
1,5Dis_den_4.6_3I5.6_3,4.6,3,5.6,3,6,2,0,0,2.66
1,Dis_den_V_6_7I4.6_3,6,7,4.6,3,1,1,1,1,1.832
1,3Dis_den_V_5.6_7I6_3,5.6,7,6,3,5,1,1,1,1.691
1,4Dis_den_V_4.6_7I6_3,4.6,7,6,3,7,1,1,1,1.731
1,4Dis_den_V_5.6_3I6_3,5.6,3,6,3,5,2,1,1,2.259
1,3Dis_den_V_5.6_3I6_3,5.6,3,6,3,5,2,1,0,2.043
1,4Dis_den_V_6_3I6_7,6,3,6,7,4,3,1,0,2.299
1,Dis_den_5.6_7I6_3,5.6,7,6,3,5,1,0,1,1.819
1,3Dis_den_4.6_7I6_3,4.6,7,6,3,7,1,0,1,1.734
1,2Dis_den_V_4.6_7I6_3,4.6,7,6,3,7,1,1,1,1.951
1,5Dis_den_4.6_7I5.6_7,4.6,7,5.6,7,6,2,0,0,2.872
1,5Dis_den_V_5.6_7I5.6_3,5.6,7,5.6,3,4,1,1,1,1.595
1,Dis_den_V_4.6_3I4.6_7,4.6,3,4.6,7,4,3,1,0,1.733
1,2Dis_den_5.6_7I6_7,5.6,7,6,7,5,2,0,0,2.384
1,3Dis_den_V_5.6_7I4.6_3,5.6,7,4.6,3,2,1,1,1,1.66
1,2Dis_den_6_7I4.6_3,6,7,4.6,3,1,1,0,1,1.851
1,4Dis_den_4.6_7I5.6_7,4.6,7,5.6,7,6,2,0,0,3.457
1,5Dis_den_V_5.6_7I6_3,5.6,7,6,3,5,1,1,1,1.746
1,Dis_den_V_4.6_7I6_3,4.6,7,6,3,7,1,1,1,1.67
1,4Dis_den_4.6_3I5.6_3,4.6,3,5.6,3,6,2,0,0,2.341
1,Dis_den_V_4.6_3I6_3,4.6,3,6,3,7,2,1,0,2.667
1,Dis_den_5.6_3I6_3,5.6,3,6,3,5,2,0,0,2.306
1,Dis_den_5.6_7I4.6_3,5.6,7,4.6,3,2,1,0,1,1.802
1,2Dis_den_6_3I6_7,6,3,6,7,4,3,0,0,1.68
1,Dis_den_V_4.6_3I5.6_3,4.6,3,5.6,3,6,2,1,0,2.954
1,2Dis_den_4.6_3I4.6_7,4.6,3,4.6,7,4,3,0,0,2.06
1,2Dis_den_6_7I5.6_3,6,7,5.6,3,3,1,0,1,1.847
1,4Dis_den_V_4.6_3I5.6_3,4.6,3,5.6,3,6,2,1,0,2.096
1,5Dis_den_6_3I6_7,6,3,6,7,4,3,0,0,1.783
1,5Dis_den_V_6_3I6_7,6,3,6,7,4,3,1,0,2.14
1,4Dis_den_6_7I4.6_3,6,7,4.6,3,1,1,0,1,1.848
1,5Dis_den_V_4.6_7I5.6_3,4.6,7,5.6,3,6,1,1,1,2.581
1,2Dis_den_V_4.6_7I5.6_3,4.6,7,5.6,3,6,1,1,1,2.452
1,3Dis_den_V_4.6_7I5.6_3,4.6,7,5.6,3,6,1,1,1,2.388
1,2Dis_den_V_4.6_7I5.6_7,4.6,7,5.6,7,6,2,1,0,3.802
1,2Dis_den_5.6_3I6_3,5.6,3,6,3,5,2,0,0,2.095
1,5Dis_den_V_4.6_3I5.6_3,4.6,3,5.6,3,6,2,1,0,2.486
1,4Dis_den_4.6_7I6_7,4.6,7,6,7,7,2,0,0,2.427
1,3Dis_den_5.6_7I5.6_3,5.6,7,5.6,3,4,1,0,1,1.597
1,3Dis_den_V_4.6_7I6_3,4.6,7,6,3,7,1,1,1,1.707
1,5Dis_den_4.6_7I6_3,4.6,7,6,3,7,1,0,1,2.35
1,5Dis_den_V_5.6_3I6_3,5.6,3,6,3,5,2,1,0,2.04
1,2Dis_den_5.6_7I6_3,5.6,7,6,3,5,1,0,1,1.561
1,5Dis_den_6_7I4.6_3,6,7,4.6,3,1,1,0,1,1.556
1,3Dis_den_4.6_7I5.6_7,4.6,7,5.6,7,6,2,0,1,1.956
1,4Dis_den_V_4.6_3I6_3,4.6,3,6,3,7,2,1,0,1.927
1,4Dis_den_V_5.6_7I6_7,5.6,7,6,7,5,2,1,0,2.01
